0 - - - Total is: 6800Cr. Order placed on Friday, October 30 2015.
0 - - - Total is: 12800Cr. Order placed on Friday, October 30 2015.
Light Saber x2valueFusion Cutter x1value - - - Total is: 12800Cr. Order placed on Friday, October 30 2015.
Light Saber x2Fusion Cutter x1value - - - Total is: 12800Cr. Order placed on Friday, October 30 2015.
Light Saber x2Fusion Cutter x1 - - - Total is: 12800Cr. Order placed on Friday, October 30 2015.
Light Saber x2 Fusion Cutter x1  - - - Total is: 12800Cr. Order placed on Friday, October 30 2015.
 - - - Total is: 0Cr. Order placed on Friday, October 30 2015.
Light Saber x7 Rocket Launcher x4 Flechette Gun x3 Fusion Cutter x3  - - - Total is: 55200Cr. Order placed on Friday, October 30 2015.
Light Saber x5 Rocket Launcher x2 Flechette Gun x1 Fusion Cutter x3  - - - Total is: 36800Cr. Order placed on Saturday, October 31 2015.
Light Saber x5 Rocket Launcher x2 Flechette Gun x1 Fusion Cutter x3  - - - Total is: 36800Cr. Order placed on Saturday, October 31 2015.
Light Saber x1  - - - Total is: 6000Cr. Order placed on Saturday, October 31 2015.
